DSX_Opponent,Opponent_of_Opponent
Grove City Kids Association GCKA 2018B,Dublin United Soccer Club DUSC Sharks 2018 Boys
Grove City Kids Association GCKA 2018B,LFC United LFC United 2018 B Elite 2
Grove City Kids Association GCKA 2018B,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black
Grove City Kids Association GCKA 2018B,1 - 2
Grove City Kids Association GCKA 2018B,6 - 1
Grove City Kids Association GCKA 2018B,Northwest FC Northwest FC 2018B Academy Blue
Grove City Kids Association GCKA 2018B,5 - 2
Grove City Kids Association GCKA 2018B,Upper Arlington United UAU 2018 BU U8 BLACK
Grove City Kids Association GCKA 2018B,Club Ohio Club Ohio West 18B Academy II
Grove City Kids Association GCKA 2018B,Club Oranje Club Oranje Raptors 2018 BU08 Navy
Grove City Kids Association GCKA 2018B,Elite FC Elite FC 2018 Boys Tottenham
Grove City Kids Association GCKA 2018B,Elite FC Elite FC 2018 Boys Liverpool
Grove City Kids Association GCKA 2018B,Worthington United WSP Hawkeyes Blue SC 2018 Boys
Club Ohio West 18B Academy,LFC United LFC United 2018 B Elite
Club Ohio West 18B Academy,Dublin United Soccer Club DUSC Sharks 2018 Boys
Club Ohio West 18B Academy,LFC United LFC United 2018 B Elite 2
Club Ohio West 18B Academy,Grove City Kids Association GCKA 2018B
Club Ohio West 18B Academy,Northwest FC Northwest FC 2018B Academy Blue
Club Ohio West 18B Academy,Upper Arlington United UAU 2018 BU U8 BLACK
Club Ohio West 18B Academy,Club Ohio Club Ohio West 18B Academy II
Club Ohio West 18B Academy,Club Oranje Club Oranje Raptors 2018 BU08 Navy
Club Ohio West 18B Academy,Blast FC Soccer Academy Blast FC 2018B
Club Ohio West 18B Academy,Elite FC Elite FC 2018 Boys Tottenham
Club Ohio West 18B Academy,Elite FC Elite FC 2018 Boys Liverpool
Club Ohio West 18B Academy,Worthington United WSP Hawkeyes Blue SC 2018 Boys
Sporting Columbus Sporting Columbus Boys 2018 I,Polaris Soccer Club Polaris SC 18B Navy
Sporting Columbus Sporting Columbus Boys 2018 I,Delaware Knights Delaware Knights 2018 BU08
Sporting Columbus Sporting Columbus Boys 2018 I,Johnstown FC Johnstown FC 2018 Boys
Sporting Columbus Sporting Columbus Boys 2018 I,Upper Arlington United UAU 2018 BU U8 BLACK
Sporting Columbus Sporting Columbus Boys 2018 I,Club Oranje Club Oranje Raptors 2018 BU08 Navy
Sporting Columbus Sporting Columbus Boys 2018 I,Columbus Force SC CE 2018B Net Ninjas
Sporting Columbus Sporting Columbus Boys 2018 I,Blast FC Soccer Academy Blast FC 2018B
Sporting Columbus Sporting Columbus Boys 2018 I,Sporting Columbus Sporting Columbus Boys 2018 II
Club Ohio Club Ohio West 18B Academy II,LFC United LFC United 2018 B Elite
Club Ohio Club Ohio West 18B Academy II,3 - 1
Club Ohio Club Ohio West 18B Academy II,Dublin United Soccer Club DUSC Sharks 2018 Boys
Club Ohio Club Ohio West 18B Academy II,LFC United LFC United 2018 B Elite 2
Club Ohio Club Ohio West 18B Academy II,5 - 3
Club Ohio Club Ohio West 18B Academy II,2 - 2
Club Ohio Club Ohio West 18B Academy II,Grove City Kids Association GCKA 2018B
Club Ohio Club Ohio West 18B Academy II,4 - 1
Club Ohio Club Ohio West 18B Academy II,Northwest FC Northwest FC 2018B Academy Blue
Club Ohio Club Ohio West 18B Academy II,Upper Arlington United UAU 2018 BU U8 BLACK
Club Ohio Club Ohio West 18B Academy II,Club Oranje Club Oranje Raptors 2018 BU08 Navy
Club Ohio Club Ohio West 18B Academy II,Blast FC Soccer Academy Blast FC 2018B
Club Ohio Club Ohio West 18B Academy II,9 - 0
Club Ohio Club Ohio West 18B Academy II,Elite FC Elite FC 2018 Boys Tottenham
Club Ohio Club Ohio West 18B Academy II,Elite FC Elite FC 2018 Boys Liverpool
Club Ohio Club Ohio West 18B Academy II,4 - 0
Club Ohio Club Ohio West 18B Academy II,Worthington United WSP Hawkeyes Blue SC 2018 Boys
Club Ohio Club Ohio West 18B Academy II,2 - 3
